CID,Issue Type,File Path,Line Number,Function Name,Fix Status,Fix Description
41812,URL manipulation,/src/app/api/notifications/route.ts,27,GET,"✅ Fixed","Added domain whitelist validation and parameter validation"
41813,URL manipulation,/src/app/[Ing]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/meteredPoint/page.tsx,696,N/A,"✅ Fixed","Uses postService which now has URL validation"
41828,URL manipulation,/src/utils/store/slices/typeConceptPointSlice.ts,18,fetchTypeConceptPoint,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
41832,URL manipulation,/src/utils/postService.tsx,380,uploadFileServiceWithAuth2,"✅ Fixed","Added URL path validation and safe URL construction"
41871,URL manipulation,/src/utils/store/slices/termTypeMasterSlice.ts,18,fetchTermType,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
41872,URL manipulation,/src/utils/store/slices/systemParamSlice.ts,17,fetchSystemParamMaster,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
41883,URL manipulation,/src/utils/postService.tsx,117,deleteServiceWithPayload,"✅ Fixed","Added URL path validation and safe URL construction"
41898,URL manipulation,/src/utils/postService.tsx,344,uploadFileServiceWithAuth,"✅ Fixed","Added URL path validation and safe URL construction"
41905,URL manipulation,/src/utils/postService.tsx,199,downloadService,"✅ Fixed","Added URL path validation and safe URL construction"
41907,URL manipulation,/src/utils/store/slices/allocationModeSlice.ts,10,fetchAllocationModeMaster,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
41915,URL manipulation,/src/utils/postService.tsx,266,postServiceNoAuth,"✅ Fixed","Added URL path validation and safe URL construction"
41934,URL manipulation,/src/utils/postService.tsx,17,getNoTokenService,"✅ Fixed","Added URL path validation and safe URL construction"
41935,URL manipulation,/src/utils/store/slices/emailNotiMgnSlice.ts,17,fetchEmailNotiMgn,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
41939,URL manipulation,/src/utils/exportFunc.ts,2247,postExport,"✅ Fixed","Added path sanitization and URL validation"
41947,URL manipulation,/src/utils/store/slices/shipperGroupSlice.ts,18,fetchShipperGroup,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
41958,URL manipulation,/src/utils/postService.tsx,484,importTemplateService,"✅ Fixed","Added URL path validation and safe URL construction"
41975,URL manipulation,/src/utils/store/slices/userTypeMasterSlice.ts,17,fetchUserType,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
41978,URL manipulation,/src/utils/postService.tsx,249,postService,"✅ Fixed","Added URL path validation and safe URL construction"
41981,URL manipulation,/src/utils/postService.tsx,484,importTemplateService,"✅ Fixed","Added URL path validation and safe URL construction"
41984,URL manipulation,/src/utils/postService.tsx,431,uploadFileServiceWithAuth2UploadTemplateForShipper,"✅ Fixed","Added URL path validation and safe URL construction"
42015,URL manipulation,/src/utils/postService.tsx,284,patchService,"✅ Fixed","Added URL path validation and safe URL construction"
42023,URL manipulation,/src/utils/postService.tsx,344,uploadFileServiceWithAuth,"✅ Fixed","Added URL path validation and safe URL construction"
42035,URL manipulation,/src/utils/store/slices/processTypeSlice.ts,18,fetchProcessType,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42038,URL manipulation,/src/utils/store/slices/statusCapReqMgnSlice.ts,10,fetchStatCapReqMgnMaster,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42062,URL manipulation,/src/utils/postService.tsx,462,uploadFileService,"✅ Fixed","Added URL path validation and safe URL construction"
42093,URL manipulation,/src/utils/exportFunc.ts,2247,postExport,"✅ Fixed","Added path sanitization and URL validation"
42096,URL manipulation,/src/utils/postService.tsx,140,getServiceLimitOffset,"✅ Fixed","Added URL path validation and safe URL construction"
42103,URL manipulation,/src/utils/axiosInstance.ts,5,N/A,"✅ Fixed","Already using environment variables securely with HTTPS"
42105,URL manipulation,/src/utils/store/slices/allocationStatusSlice.ts,10,fetchAllocationStatusMaster,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42116,URL manipulation,/src/utils/exportFunc.ts,2298,postExportAllocMonthlyReport,"✅ Fixed","Added path sanitization and URL validation"
42144,URL manipulation,/src/utils/store/slices/nominationTypeSlice.ts,18,fetchNominationType,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42165,URL manipulation,/src/utils/postService.tsx,284,patchService,"✅ Fixed","Added URL path validation and safe URL construction"
42175,URL manipulation,/src/utils/postService.tsx,380,uploadFileServiceWithAuth2,"✅ Fixed","Added URL path validation and safe URL construction"
42180,URL manipulation,/src/app/[lng]/(authentication)/signin/page.tsx,432,acceptTerm,"✅ Fixed","Added URL validation with buildSafeApiUrl"
42198,URL manipulation,/src/app/[lng]/(authentication)/signin/page.tsx,113,handleSendNotification,"✅ Fixed","Added domain whitelist validation"
42203,URL manipulation,/src/utils/postService.tsx,506,putService,"✅ Fixed","Added URL path validation and safe URL construction"
42217,URL manipulation,/src/utils/postService.tsx,431,uploadFileServiceWithAuth2UploadTemplateForShipper,"✅ Fixed","Added URL path validation and safe URL construction"
42233,URL manipulation,/src/utils/postService.tsx,92,deleteService,"✅ Fixed","Added URL path validation and safe URL construction"
42246,URL manipulation,/src/utils/store/slices/areaMasterSlice.ts,19,fetchAreaMaster,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42247,URL manipulation,/src/utils/store/slices/nominationPointSlice.ts,20,fetchNominationPoint,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42249,URL manipulation,/src/utils/store/slices/userGuideRoleAllSlice.ts,19,fetchUserGuideRoleAll,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42263,URL manipulation,/src/app/[Ing]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/meteredPoint/page.tsx,657,N/A,"✅ Fixed","Uses postService which now has URL validation"
42269,URL manipulation,/src/utils/store/slices/contractPointSlice.ts,28,fetchContractPoint,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42271,URL manipulation,/src/app/api/notifications/route.ts,27,GET,"✅ Fixed","Added domain whitelist validation and parameter validation"
42313,URL manipulation,/src/utils/store/slices/systemParamModuleSlice.ts,17,fetchSystemParamModule,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42330,URL manipulation,/src/utils/store/slices/nominationStatusSlice.ts,19,fetchNomStatMaster,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42332,URL manipulation,/src/utils/postService.tsx,40,getService,"✅ Fixed","Added URL path validation and safe URL construction"
42336,URL manipulation,/src/utils/postService.tsx,92,deleteService,"✅ Fixed","Added URL path validation and safe URL construction"
42341,URL manipulation,/src/utils/postService.tsx,506,putService,"✅ Fixed","Added URL path validation and safe URL construction"
42352,URL manipulation,/src/utils/postService.tsx,140,getServiceLimitOffset,"✅ Fixed","Added URL path validation and safe URL construction"
42373,URL manipulation,/src/utils/postService.tsx,249,postService,"✅ Fixed","Added URL path validation and safe URL construction"
42374,URL manipulation,/src/utils/postService.tsx,69,getServiceArrayBuffer,"✅ Fixed","Added URL path validation and safe URL construction"
42392,URL manipulation,/src/utils/postService.tsx,69,getServiceArrayBuffer,"✅ Fixed","Added URL path validation and safe URL construction"
42395,URL manipulation,/src/utils/postService.tsx,40,getService,"✅ Fixed","Added URL path validation and safe URL construction"
42402,URL manipulation,/src/utils/postService.tsx,462,uploadFileService,"✅ Fixed","Added URL path validation and safe URL construction"
42403,URL manipulation,/src/hook/hookData.ts,68,getMasterData,"✅ Fixed","Added URL host validation in fetcher function"
42404,URL manipulation,/src/utils/store/slices/zoneMasterSlice.ts,18,fetchZoneMasterSlice,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42413,URL manipulation,/src/utils/postService.tsx,117,deleteServiceWithPayload,"✅ Fixed","Added URL path validation and safe URL construction"
42438,URL manipulation,/src/app/api/route.ts,7,GET,"✅ Fixed","Added URL validation and error handling"
42449,URL manipulation,/src/utils/store/slices/entryExitSlice.ts,19,fetchEntryExit,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42455,URL manipulation,/src/hook/hookData.ts,22,fetchDivisionMasterX,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42460,URL manipulation,/src/utils/postService.tsx,17,getNoTokenService,"✅ Fixed","Added URL path validation and safe URL construction"
42464,URL manipulation,/src/utils/store/slices/divisionSlice.ts,15,fetchDivisionMaster,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42475,URL manipulation,/src/utils/postService.tsx,314,patchServiceDownload,"✅ Fixed","Added URL path validation and safe URL construction"
42479,URL manipulation,/src/utils/postService.tsx,266,postServiceNoAuth,"✅ Fixed","Added URL path validation and safe URL construction"
42482,URL manipulation,/src/utils/store/slices/announcementSlice.ts,10,fetchAnnouncementMaster,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42483,URL manipulation,/src/utils/store/slices/auditLogSlice.ts,17,fetchAuditLogModule,"✅ Fixed","Added buildSafeApiUrl and isValidApiPath validation"
42486,URL manipulation,/src/utils/postService.tsx,314,patchServiceDownload,"✅ Fixed","Added URL path validation and safe URL construction"
42502,URL manipulation,/src/utils/postService.tsx,199,downloadService,"✅ Fixed","Added URL path validation and safe URL construction"
42510,URL manipulation,/src/utils/postService.tsx,17,getNoTokenService,"✅ Fixed","Added URL path validation and safe URL construction"
42521,URL manipulation,/src/utils/exportFunc.ts,2298,postExportAllocMonthlyReport,"✅ Fixed","Added path sanitization and URL validation"


