Issue ID,Type,File,Line,Component
41939,URL manipulation,/src/utils/exportFunc.ts,2261,Other
42093,URL manipulation,/src/utils/exportFunc.ts,2261,Other
42103,URL manipulation,/src/utils/axiosInstance.ts,5,Other
42116,URL manipulation,/src/utils/exportFunc.ts,2335,Other
42403,URL manipulation,/src/hook/hookData.ts,103,Other
42438,URL manipulation,/src/app/api/route.ts,19,Other
42455,URL manipulation,/src/hook/hookData.ts,42,Other
42521,URL manipulation,/src/utils/exportFunc.ts,2335,Other
51992,URL manipulation,/src/app/[ing]/(authentication)/signin/page.tsx,135,Other
51995,URL manipulation,/src/app/api/notifications/route.ts,93,Other
51997,URL manipulation,/src/utils/postService.tsx,678,Other
52004,URL manipulation,/src/utils/postService.tsx,385,Other
52005,URL manipulation,/src/utils/postService.tsx,271,Other
52010,URL manipulation,/src/utils/store/slices/emailNotiMgnSlice.ts,30,Other
52013,URL manipulation,/src/utils/postService.tsx,645,Other
52018,URL manipulation,/src/utils/store/slices/systemParamSlice.ts,30,Other
52019,URL manipulation,/src/utils/postService.tsx,29,Other
52021,URL manipulation,/src/utils/postService.tsx,613,Other
52024,URL manipulation,/src/app/[ing]/(authentication)/signin/page.tsx,473,Other
52026,URL manipulation,/src/utils/postService.tsx,511,Other
52036,URL manipulation,/src/utils/postService.tsx,425,Other
52037,URL manipulation,/src/app/api/notifications/route.ts,93,Other
52047,URL manipulation,/src/utils/store/slices/nominationTypeSlice.ts,31,Other
52050,URL manipulation,/src/utils/postService.tsx,572,Other
52052,URL manipulation,/src/utils/postService.tsx,202,Other
52058,URL manipulation,/src/utils/store/slices/termTypeMasterSlice.ts,31,Other
52060,URL manipulation,/src/utils/store/slices/shipperGroupSlice.ts,31,Other
52063,URL manipulation,/src/utils/store/slices/nominationPointSlice.ts,33,Other
52069,URL manipulation,/src/utils/store/slices/divisionSlice.ts,28,Other
52075,URL manipulation,/src/app/[ing]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/meteredPoint/page.tsx,707,Other
52081,URL manipulation,/src/utils/postService.tsx,169,Other
52082,URL manipulation,/src/utils/postService.tsx,465,Other
52083,URL manipulation,/src/utils/store/slices/processTypeSlice.ts,31,Other
52085,URL manipulation,/src/utils/store/slices/contractPointSlice.ts,41,Other
52087,URL manipulation,/src/utils/store/slices/allocationStatusSlice.ts,22,Other
52090,URL manipulation,/src/utils/store/slices/areaMasterSlice.ts,32,Other
52100,URL manipulation,/src/utils/store/slices/announcementSlice.ts,22,Other
52104,URL manipulation,/src/utils/postService.tsx,134,Other
52105,URL manipulation,rc/utils/store/slices/typeConceptPointSlice.ts,31,Other
52114,URL manipulation,/src/utils/store/slices/zoneMasterSlice.ts,31,Other
52117,URL manipulation,/src/utils/postService.tsx,101,Other
52119,URL manipulation,/src/utils/postService.tsx,62,Other
52122,URL manipulation,/src/utils/store/slices/allocationModeSlice.ts,22,Other
52124,URL manipulation,/src/utils/store/slices/entryExitSlice.ts,32,Other
52126,URL manipulation,/src/utils/postService.tsx,330,Other
52129,URL manipulation,/src/utils/postService.tsx,357,Other
52130,URL manipulation,/src/utils/store/slices/nominationStatusSlice.ts,32,Other
52131,URL manipulation,/src/utils/store/slices/systemParamModuleSlice.ts,30,Other
52148,URL manipulation,/src/utils/store/slices/userGuideRoleAllSlice.ts,32,Other
52152,URL manipulation,/src/utils/store/slices/userTypeMasterSlice.t,,Other
52155,URL manipulation,/src/app/[ing]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/meteredPoint/page.tsx,667,Other
52166,URL manipulation,/src/utils/store/slices/auditLogSlice.ts,30,Other
52167,URL manipulation,/src/utils/store/slices/statusCapReqMgnSlice.ts,22,Other